obsname,tstart,tstop,source_J,bkg_rms_J,bkg_max_J
20240407,09:10:29,20:19:49,3.44932959706057E-05,1.18986643872365E-05,4.34513276559301E-05
20240421,08:39:19,16:41:39,4.53078719147015E-05,1.47973844763253E-05,5.438229709398E-05
20240426,08:45:59,19:35:49,5.17750377184711E-05,1.36344877537826E-05,4.88123405375518E-05
20240428,13:03:49,18:10:19,5.22805567015894E-05,1.71224656464175E-05,6.16750767221674E-05
20240505,13:13:49,18:39:59,5.9266785683576E-05,1.73146380565471E-05,6.43394960206933E-05
20240511,06:59:59,18:14:59,3.52485549228731E-05,1.22368367214541E-05,4.91151622554753E-05
20240515,06:37:29,17:54:19,3.44825857609976E-05,1.19681419048602E-05,5.0247701437911E-05
20240531,05:24:09,16:35:09,4.81994029541966E-05,1.55082567907136E-05,6.42723753117025E-05
20240611,06:09:39,12:13:59,5.88812617934309E-05,1.51127264167084E-05,6.28344787401147E-05
20240614,04:28:29,15:48:49,3.74273367924616E-05,1.14411148607109E-05,4.66298515675589E-05
20240619,04:59:39,15:44:09,3.76859316020273E-05,1.24639054264225E-05,4.86089447804261E-05
20240626,03:48:39,15:12:39,4.8385416448582E-05,1.24952370558654E-05,5.1004062697757E-05
20240704,02:22:49,14:03:59,4.3515221477719E-05,1.13892760815053E-05,5.31773330294527E-05
20240715,01:44:19,13:12:59,5.02368784509599E-05,1.16745048528355E-05,5.35460530954879E-05
