obs_date,nrows,tstart,tstop
26-Jun-2024,56250,03:48:39.9,15:12:39.9
15-Jul-2024,54885,01:44:19.9,13:12:59.9
14-Jun-2024,55950,04:28:29.9,15:48:49.9
05-May-2024,26910,13:13:49.9,18:39:59.9
28-Apr-2024,25425,13:03:49.9,18:10:19.9
11-May-2024,55485,06:59:59.9,18:14:59.9
31-May-2024,55110,05:24:09.9,16:35:09.9
04-Jul-2024,57825,02:22:49.9,14:03:59.9
26-Jun-2024,56250,03:48:39.9,15:12:39.9
11-Jun-2024,29925,06:09:39.9,12:13:59.9
26-Apr-2024,53475,08:45:59.9,19:35:49.9
19-Jun-2024,49140,04:59:39.9,15:44:09.9
21-Apr-2024,39870,08:39:19.9,16:41:39.9
15-May-2024,55650,06:37:29.9,17:54:19.9
07-Apr-2024,54975,09:10:29.9,20:19:49.9
