istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,phase,total_n_valid_data_points,ID,TIC,qcs,mission,tstamp,lc_n,w,mask_pos_outliers_sigma,real,note,helpid
5677.0,5685.0,274195.0,274203.0,1608.28686090151,1608.29797198555,2.35564288579974,0.189733739647292,0.003271178659021,0.011111084035065,0.61256542337174,13392.0,HIP 67522,166527623,11,TESS,2022_07_30,1.0,61.0,2.5,1.0,,HIP 67522_TESS_11
6675.0,6686.0,275193.0,275204.0,1609.67296545399,1609.68824310978,6.08931425260413,0.24888621313201,0.008170473149581,0.015277655797945,0.811732598451724,13392.0,HIP 67522,166527623,11,TESS,2022_07_30,1.0,61.0,2.5,1.0,,HIP 67522_TESS_11
512.0,522.0,797352.0,797362.0,2334.89350600155,2334.90739489544,3.58919324020419,0.323216897485324,0.005231758888322,0.01388889389591,0.017527257576216,18213.0,HIP 67522,166527623,38,TESS,2022_07_30,2.0,61.0,2.5,1.0,,HIP 67522_TESS_38
571.0,590.0,797411.0,797430.0,2334.97545047479,2335.00183937291,16.1168738049909,0.054200756777793,0.011214773299776,0.026388898122605,0.029301729581047,18213.0,HIP 67522,166527623,38,TESS,2022_07_30,2.0,61.0,2.5,1.0,,HIP 67522_TESS_38
711.0,719.0,797551.0,797559.0,2335.16989498607,2335.18100610063,2.88969893609134,0.203886517089758,0.005448125279458,0.011111114557025,0.057241154463297,18213.0,HIP 67522,166527623,38,TESS,2022_07_30,2.0,61.0,2.5,1.0,,HIP 67522_TESS_38
5628.0,5635.0,802477.0,802484.0,2342.01154295886,2342.02126511483,3.50908054756443,0.175692696196203,0.005247537410218,0.009722155969484,0.040306751646131,18213.0,HIP 67522,166527623,38,TESS,2022_07_30,2.0,61.0,2.5,1.0,,HIP 67522_TESS_38
1014.0,1018.0,1307014.0,1307018.0,3042.75666309214,3042.76221883143,1.34863008976262,0.135587739645027,0.003605075292776,0.005555739287047,0.729890495361688,17319.0,HIP 67522,166527623,64,TESS,2023_06_05,0.0,59.0,2.0,1.0,,HIP 67522_TESS_64
2110.0,2119.0,1308110.0,1308119.0,3044.2789343747,3044.29143476807,2.40876888590874,0.154815121611392,0.003952000651055,0.012500393372193,0.948623252939387,17319.0,HIP 67522,166527623,64,TESS,2023_06_05,0.0,59.0,2.0,1.0,,HIP 67522_TESS_64
2934.0,2941.0,1308934.0,1308941.0,3045.42341420531,3045.43313672252,1.57041065307392,0.148193696735298,0.002881955078577,0.009722517208957,0.113071753157355,17319.0,HIP 67522,166527623,64,TESS,2023_06_05,0.0,59.0,2.0,1.0,,HIP 67522_TESS_64
8227.0,8234.0,1314381.0,1314388.0,3052.98889388206,3052.99861632896,2.06785232276547,0.178715563025293,0.003541361372738,0.009722446894102,0.200143585261976,17319.0,HIP 67522,166527623,64,TESS,2023_06_05,0.0,59.0,2.0,1.0,,HIP 67522_TESS_64
12831.0,12846.0,1319144.0,1319159.0,3059.60427306811,3059.62510660242,27.9060041973999,0.216034238887559,0.032480364946625,0.020833534310896,0.150696977658503,17319.0,HIP 67522,166527623,64,TESS,2023_06_05,0.0,59.0,2.0,1.0,,HIP 67522_TESS_64
17142.0,17148.0,1323625.0,1323631.0,3065.82792424088,3065.83625760208,1.51359982310488,0.146754512861859,0.003577838171098,0.008333361196492,0.044963590199154,17319.0,HIP 67522,166527623,64,TESS,2023_06_05,0.0,59.0,2.0,1.0,,HIP 67522_TESS_64
